Code,Page,Across,Down,Element,Type,Current text,New text,Old code
[L0000],Landing,0,0,title,Title (SEO),ESUNOS — The Guide to Infrastructure,,MT001
[L0600],Landing,6,0,span,Text,ESUNOS · A Network of Newsletters,,UB001
[L7800],Landing,78,0,span,Text,Issue 01 — September 2026,,UB002
[L0001],Landing,0,1,meta,Meta description,"A newsletter about the built world's loud, load-bearing beauty — the substations, spans and server halls that would rather be noticed than hidden. Free, one issue a fortnight.",,MT002
[L6802],Landing,68,2,a,Link,Archive,,NV003
[L7602],Landing,76,2,a,Link,About,,NV004
[L0607],Landing,6,7,p,Body / paragraph,The ESUNOS Guide to Infrastructure,,HE001
[L0608],Landing,6,8,h1,Page title,"Infrastructure, styled to be seen.",,HE002
[L0614],Landing,6,14,p,Body / paragraph,"A newsletter about the built world's loud, load-bearing beauty — the substations, spans and server halls that would rather be noticed than hidden.",,HE003
[L0619],Landing,6,19,input,Input placeholder,you@example.com,,HE004
[L0621],Landing,6,21,p,Body / paragraph,Free. One issue a fortnight. Unsubscribe whenever.,,HE006
[L0628],Landing,6,28,p,Body / paragraph,Featured — Issue 01,,FE001
[L6328],Landing,63,28,h3,Subheading,In this issue,,II001
[L6629],Landing,66,29,span,Text,The substation that wanted to be a landmark,,II002
[L6631],Landing,66,31,span,Text,Field notes: the honest pipe,,II003
[L6633],Landing,66,33,span,Text,Five bridges that show their working,,II004
[L6635],Landing,66,35,span,Text,The server hall as cathedral,,II005
[L6636],Landing,66,36,span,Text,Reader mailbag: your loudest local build,,II006
[L6539],Landing,65,39,p,Body / paragraph,The number,,SB001
[L6540],Landing,65,40,p,Body / paragraph,"4,300",,SB002
[L0842],Landing,8,42,figcaption,Caption,[ Photograph: the Battersea substation at dusk ],,FE002
[L6542],Landing,65,42,p,Body / paragraph,substations in Greater London. We have opinions about roughly nine of them.,,SB003
[L0644],Landing,6,44,h2,Heading,Why the substation became a landmark,,FE003
[L0647],Landing,6,47,p,Body / paragraph,Power infrastructure spent a century apologising for itself behind fences and hedges. A new generation of engineers is doing the opposite — turning the grid's ugliest boxes into the thing you photograph. We visit three that got it right.,,FE004
[L2152],Landing,21,52,span,Text,by Hugo Sale · 11 min read,,FE006
[L0679],Landing,6,79,p,Body / paragraph,Subscribe,,CS001
[L0680],Landing,6,80,h2,Heading,Get the next issue of the Guide to Infrastructure.,,CS002
[L5380],Landing,53,80,input,Input placeholder,you@example.com,,CS003
[L5383],Landing,53,83,p,Body / paragraph,Free. One issue a fortnight. Unsubscribe whenever.,,CS005
[L5690],Landing,56,90,p,Body / paragraph,Read,,FT002
[L7690],Landing,76,90,p,Body / paragraph,Elsewhere,,FT006
[L5691],Landing,56,91,a,Link,Latest issue,,FT003
[L7691],Landing,76,91,a,Link,Newsletter,,FT007
[L0692],Landing,6,92,p,Body / paragraph,"Infrastructure, styled to be seen. A fortnightly field guide to the built world.",,FT001
[L5692],Landing,56,92,a,Link,Archive,,FT004
[L7692],Landing,76,92,a,Link,Instagram,,FT008
[L7693],Landing,76,93,a,Link,Contact,,FT009
[L0696],Landing,6,96,span,Text,© 2026 ESUNOS,,FT010
[L8696],Landing,86,96,span,Text,esunos.com,,FT011
[I0000],Issue 01,0,0,title,Title (SEO),Why the substation became a landmark — ESUNOS Issue 01,,IM001
[I0600],Issue 01,6,0,span,Text,The ESUNOS Guide to Infrastructure,,HD001
[I7800],Issue 01,78,0,span,Text,Issue 01 — September 2026,,HD002
[I0001],Issue 01,0,1,meta,Meta description,"For a century the grid hid in the hedges. Three engineers decided it should be the view instead. The ESUNOS Guide to Infrastructure, Issue 01.",,IM002
[I6201],Issue 01,62,1,a,Link,Home,,HD004
[I6801],Issue 01,68,1,a,Link,Archive,,HD006
[I7601],Issue 01,76,1,a,Link,About,,HD007
[I2504],Issue 01,25,4,span,Text,Feature 01,,AH001
[I3404],Issue 01,34,4,span,Text,Grid · Power,,AH002
[I2505],Issue 01,25,5,h1,Page title,Why the substation became a landmark,,AH003
[I2508],Issue 01,25,8,p,Body / paragraph,For a century the grid hid in the hedges. Three engineers decided it should be the view instead.,,AH004
[I2511],Issue 01,25,11,div,div,PHOTO,,PH004
[I3011],Issue 01,30,11,div,div,Hugo Sale,,AH005
[I3012],Issue 01,30,12,div,div,"September 21, 2026 · 11 min read",,AH006
[I0826],Issue 01,8,26,figcaption,Caption,"[ Photograph: Battersea ""A"" substation, floodlit — full bleed ]",,PH001
[I2528],Issue 01,25,28,p,Body / paragraph,"There is a moment, walking south from the river at dusk, when the substation stops looking like a warning and starts looking like a building. Its transformers hum behind a lattice of steel; a run of ceramic insulators catches the last of the light like a shelf of trophies. Nobody designed it to be beautiful. That, the engineers here will tell you, was the mistake worth fixing.",,AB001
[I2532],Issue 01,25,32,p,Body / paragraph,"Infrastructure has spent most of a century apologising for itself. We buried the cables, fenced the plant, and planted fast-growing conifers in front of anything that buzzed. The result is a built world we rely on completely and refuse to look at — a landscape of shrugging grey boxes designed, above all, to be ignored.",,AB002
[I2536],Issue 01,25,36,h2,Heading,The case for showing your working,,AB010
